t	D	E	c	n
1	2000	2000	10	6
2	2050.25	1900.99	9.99	6
3	2075.57	1852.23	9.98	5.99
4	2101.01	1803.95	9.96	5.98
5	2126.58	1756.15	9.94	5.97
6	2152.15	1708.35	9.92	5.96
7	2177.72	1660.55	9.90	5.95
8	2203.29	1612.75	9.88	5.94
9	2228.86	1564.95	9.86	5.93
10	2254.43	1517.15	9.84	5.92
11	2280.00	1469.35	9.82	5.91
12	2305.57	1421.55	9.80	5.90
13	2331.14	1373.75	9.78	5.89
14	2356.71	1325.95	9.76	5.88
15	2382.28	1278.15	9.74	5.87
16	2407.85	1230.35	9.72	5.86
17	2433.42	1182.55	9.70	5.85	
18	2458.99	1134.75	9.68	5.84
19	2484.56	1086.95	9.66	5.83
20	2510.13	1039.15	9.64	5.82
21	2535.70	991.35	9.62	5.81
22	2561.27	943.55	9.60	5.80
23	2586.84	895.75	9.58	5.79
24	2612.41	847.95	9.56	5.78
25	2637.98	800.15	9.54	5.77
26	2663.55	752.35	9.52	5.76
27	2689.12	704.55	9.50	5.75
28	2714.69	656.75	9.48	5.74
29	2740.26	608.95	9.46	5.73
30	2765.83	561.15	9.44	5.72
